id;Nome;Tipo;Valor;Categoria;Conta;Data;Obs;desconsiderar;Parcela;Data origem;Data Criacao;TAG
148;tahine;Despesa;-72,5;Restaurante;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:43;
149;click bus;Despesa;-55,32;Transporte;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:44;
150;happy hour;Despesa;-70,0;Lazer;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:44;
151;salgado;Despesa;-25,0;Supermercado;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:45;
165;rshop;Despesa;-8,8;Supermercado;Itaú;19/04/2023 00:00;;False;;;23/04/2023 16:01;
152;bbq house ;Despesa;-119,46;Restaurante;PDA;20/04/2023 00:00;santo parque;False;;;23/04/2023 15:46;
153;remedio mae;Despesa;-60,0;Presentes;PDA;20/04/2023 00:00;;False;;;23/04/2023 15:46;
48;anuidade;Despesa;-33,75;Multas;PDA;21/04/2023 00:00;;False;3.0;21/02/2023;;
154;ifood ;Despesa;-34,89;Restaurante;PDA;22/04/2023 00:00;;False;;;23/04/2023 15:47;
155;comercial de comb;Despesa;-100,0;Transporte;PDA;22/04/2023 00:00;;False;;;23/04/2023 15:48;
156;vilma de jesus oliveira;Despesa;-45,0;Lazer;PDA;22/04/2023 00:00;;False;;;23/04/2023 15:49;
157;Casa das Alianças;Despesa;-51,68;Presentes;PDA;25/04/2023 00:00;;False;3.0;25/02/2023;23/04/2023 15:52;
166;Cashback ;Receita;534,36;Outros;Itaú;26/04/2023 00:00;;False;;;02/05/2023 09:30;
167;Salario;Receita;6615,89;Salário;Itaú;27/04/2023 00:00;;False;;;02/05/2023 09:31;
168;Transferência;Transferência;-4027,25;Transferência;Itaú;27/04/2023 00:00;;True;;;02/05/2023 09:31;
169;CPFL;Despesa;-315,15;Casa;Itaú;27/04/2023 00:00;;False;;;02/05/2023 09:32;
168;Transferência;Transferência;4027,25;Transferência;PDA;27/04/2023 00:00;;True;;;02/05/2023 09:31;
170;Aplicação;Investimento;-1120,0;Tesouro Selic;Itaú;27/04/2023 00:00;;True;;Nuinvest;02/05/2023 09:33;
171;Onix;Despesa;-1000,0;Onix;Itaú;27/04/2023 00:00;;False;;;02/05/2023 09:34;
172;Festinha;Despesa;-10,0;Lazer;Itaú;27/04/2023 00:00;;False;;;02/05/2023 09:34;
168;slc merican bar;Despesa;21,76;Restaurante;PDA;27/04/2023 00:00;;False;;;02/05/2023 09:31;
168;pague contas;Despesa;37,29;Restaurante;PDA;27/04/2023 00:00;;False;;;02/05/2023 09:31;
168;uber + juros;Despesa;10,84;Restaurante;PDA;27/04/2023 00:00;;False;;;02/05/2023 09:31;
174;Club wine;Despesa;-53,07;Supermercado;PDA;27/04/2023 00:00;;False;;;02/05/2023 09:37;
175;elite group;Despesa;-6,0;Compras;PDA;27/04/2023 00:00;;False;;;02/05/2023 09:37;
170;Aplicação;Investimento;1120,0;Tesouro Selic;Nuinvest;27/04/2023 00:00;;True;;Itaú;02/05/2023 09:33;
173;SAAE;Despesa;-98,64;Casa;Itaú;28/04/2023 00:00;;False;;;02/05/2023 09:35;
176;Almocinho;Despesa;-229,57;Lazer;PDA;28/04/2023 00:00;;False;;;02/05/2023 09:38;
233;Feijoada;Despesa;-229,57;Restaurante;PDA;29/04/2023 00:00;;False;;;26/05/2023 15:41;
177;Uber;Despesa;-9,33;Transporte;PDA;30/04/2023 00:00;;False;;;02/05/2023 09:40;
178;amo pastel;Despesa;-47,07;Restaurante;PDA;30/04/2023 00:00;;False;;;02/05/2023 09:41;
179;BK drive;Despesa;-42,8;Restaurante;PDA;30/04/2023 00:00;;False;;;02/05/2023 09:42;
57;genera;Despesa;-36,58;Compras;PDA;01/05/2023 00:00;;False;4.0;01/02/2023;;
58;Relogio;Despesa;-99,88;Compras;PDA;01/05/2023 00:00;;False;4.0;01/02/2023;;
60;Hotel urbano(ITALIA);Despesa;-469,25;Viagem;PDA;01/05/2023 00:00;;False;4.0;01/02/2023;;
61;peças onix mercado livre;Despesa;-33,3;Serviços;PDA;01/05/2023 00:00;;False;7.0;01/02/2023;;
180;Bike hotel;Despesa;-83,8;Restaurante;PDA;01/05/2023 00:00;;False;;;02/05/2023 09:42;
181;My sushi;Despesa;-53,8;Restaurante;PDA;01/05/2023 00:00;;False;;;02/05/2023 09:43;
182;hinode samuel;Despesa;-10,0;Lazer;PDA;01/05/2023 00:00;;False;;;02/05/2023 09:45;
186;Autopostosvictor;Despesa;-100,0;Transporte;PDA;01/05/2023 00:00;;False;;;03/05/2023 10:57;
188;Havancon (presente vinicius);Despesa;-56,15;Presentes;PDA;01/05/2023 00:00;;False;2.0;01/04/2023;03/05/2023 14:04;
232;terno vinicius;Despesa;-150,0;Presentes;PDA;01/05/2023 00:00;;False;1.0;01/05/2023;26/05/2023 15:37;
23;microsoft;Despesa;-29,99;TV,Internet,Telefone;PDA;02/05/2023 00:00;;False;4.0;02/02/2023;;
183;Vinho;Despesa;-30,0;Supermercado;Itaú;02/05/2023 00:00;;False;;;02/05/2023 09:46;
184;Nathalia;Despesa;-600,0;Educação;Itaú;02/05/2023 00:00;;False;;;03/05/2023 10:54;
185;Fut;Despesa;-16,0;Saúde;Itaú;02/05/2023 00:00;;False;;;03/05/2023 10:55;
189;autopostosvictor;Despesa;-100,0;Transporte;PDA;02/05/2023 00:00;;False;;;09/05/2023 11:59;
187;Gympass;Despesa;-49,9;Saúde;PDA;03/05/2023 00:00;;False;;;03/05/2023 10:58;
190;Conect car;Despesa;-50,0;Viagem;PDA;03/05/2023 00:00;;False;;;09/05/2023 12:00;
20;google fotos;Despesa;-6,99;TV,Internet,Telefone;PDA;06/05/2023 00:00;;False;4.0;06/02/2023;;
191;Dona waffle;Despesa;-50,0;Restaurante;PDA;07/05/2023 00:00;;False;;;09/05/2023 12:01;
194;Bianca;Receita;40,0;Cobrança;Itaú;08/05/2023 00:00;;False;;;09/05/2023 12:04;
192;Transf bianca;Despesa;-10,31;Presentes;PDA;08/05/2023 00:00;;False;;;09/05/2023 12:03;
195;Transferência;Transferência;-25,0;Transferência;Itaú;08/05/2023 00:00;;True;;;14/05/2023 20:13;
195;Transferência;Transferência;25,0;Transferência;Nubank;08/05/2023 00:00;;True;;;14/05/2023 20:13;
22;youse;Despesa;-200,0;Serviços;PDA;09/05/2023 00:00;;False;4.0;09/02/2023;;
193;Transferência;Transferência;38,59;Transferência;Cartão Nubank;09/05/2023 00:00;;True;;;09/05/2023 12:03;
193;Transferência;Transferência;-38,59;Transferência;Itaú;09/05/2023 00:00;;True;;;09/05/2023 12:03;
204;Transferencia bianca;Despesa;-51,0;Presentes;Itaú;09/05/2023 00:00;;False;;;14/05/2023 20:19;
159;Casas bahia;Despesa;-51,67;Compras;PDA;10/05/2023 00:00;;False;3.0;10/03/2023;23/04/2023 15:57;
198;Conectar;Despesa;-25,0;Transporte;PDA;10/05/2023 00:00;;False;;;14/05/2023 20:16;
204;Caixinha;Despesa;-51,0;Viagem;Itaú;11/05/2023 00:00;;False;;;14/05/2023 20:19;
196;Otavio pattaro;Despesa;-33,0;Restaurante;PDA;12/05/2023 00:00;;False;;;14/05/2023 20:14;
197;uber;Despesa;-9,18;Transporte;PDA;12/05/2023 00:00;;False;;;14/05/2023 20:15;
198;Conectar;Despesa;-50,0;Transporte;PDA;13/05/2023 00:00;;False;;;14/05/2023 20:16;
